A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
BMW,Porsche,47729.58146639511,59279.83870967742,-11550.257243282307,1495.8595610985265,-7.721485053583541,153.82605180033926,9.060231453972278e-10,-0.7353881171369648
BMW,Ram,47729.58146639511,41320.847750865054,6408.733715530056,535.173431396346,11.975059559307212,1352.8156300215423,2.824407374646398e-13,0.5578332974651142
BMW,Scion,47729.58146639511,18375.454545454544,29354.126920940565,628.594328516483,46.6980460835813,248.42421304153132,0.0,7.19071418098014
BMW,Smart,47729.58146639511,13500.0,34229.58146639511,635.4844940582971,53.86375558560051,29.51799058891657,0.0,22.040080618595717
BMW,Subaru,47729.58146639511,27978.791666666668,19750.78979972844,520.6667581208366,37.933648522160254,1249.70385027874,1.2922996006636822e-13,1.6043535540395562
BMW,Tesla,47729.58146639511,50899.11504424779,-3169.5335778526787,1933.7628540800526,-1.6390497786040668,127.71254714698652,0.9996978489435079,-0.16270693369567898
BMW,Toyota,47729.58146639511,28624.735468304454,19104.845998090655,505.688915647298,37.77983935763322,1126.4530451671212,3.488320743372242e-13,1.328938338026452
BMW,Volkswagen,47729.58146639511,27287.3133393017,20442.268127093408,537.7440621395685,38.014865372493375,1387.0016257631646,2.2115642650533118e-13,1.6623481034333552
BMW,Volvo,47729.58146639511,44907.79661016949,2821.7848562256186,659.8121672612909,4.276648713433271,998.6742039275982,0.010619841718910839,0.28377666639049
Buick,Cadillac,33533.75338753388,51441.4168190128,-17907.66343147892,767.0655516457153,-23.34567546809863,883.8980238862913,1.4477308241112041e-13,-1.5714143768785973
Buick,Chevrolet,33533.75338753388,34875.39828353465,-1341.6448960007692,482.4946986433159,-2.7806417350765127,586.4302709732066,0.6661718068326281,-0.15297569117531457
Buick,Chrysler,33533.75338753388,35208.75488069414,-1675.0014931602636,502.5451554666003,-3.3330367926939175,625.5004783528675,0.2416266409458686,-0.23260649022306784
Buick,Dodge,33533.75338753388,32108.071500503524,1425.6818870303541,477.20032943411326,2.987596191982925,553.9796857862586,0.4936207347632705,0.18204679311067004
Buick,Fiat,33533.75338753388,21668.18181818182,11865.571569352058,656.9330677297717,18.062070783492576,179.56607930353533,0.0,2.409759426371023
Buick,Ford,33533.75338753388,33066.46001239926,467.2933751346209,457.8163736628697,1.0207004423977415,478.24272408215506,0.9999999991033373,0.05608047916590417
