A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Gray,Purple,32632.7086938023,31380.821917808218,1251.8867759940804,1563.2098865297996,0.8008436914208421,73.1628361569826,0.9998322209082314,0.09420570159716898
Gray,Red,32632.7086938023,31534.883994126285,1097.8246996760136,229.62685634688532,4.7809072385574405,7348.864250227192,0.00013292191813163434,0.09976495932287927
Gray,Silver,32632.7086938023,31962.963602714375,669.7450910879234,219.62224651098785,3.049532102178982,10397.149764782214,0.10789322408481905,0.05684040581020131
Gray,Tan,32632.7086938023,34325.60810810811,-1692.899414305808,884.3416226641477,-1.9143048013569883,232.4411487806558,0.7854533948342587,-0.1304731767653791
Gray,White,32632.7086938023,34567.605155109486,-1934.8964613071876,193.44431115579368,-10.002343567234115,15461.936231747128,6.136424701708165e-12,-0.15999081809464835
Gray,Yellow,32632.7086938023,29929.64814814815,2703.060545654149,1582.7242065030998,1.7078531651615672,53.834761722821405,0.8827323133385465,0.2332729985796273
Green,Orange,30670.93085106383,28614.479166666668,2056.4516843971614,922.3625266548806,2.229548171102816,366.1753757169834,0.5701906121902983,0.19750148994825079
Green,Purple,30670.93085106383,31380.821917808218,-709.8910667443888,1640.3117096617939,-0.4327781497644475,88.4953811003479,0.9999998241520107,-0.055259053436813296
Green,Red,30670.93085106383,31534.883994126285,-863.9531430624556,547.472235519612,-1.5780766347766806,473.5410399619502,0.9359525767231492,-0.08574182855193921
Green,Silver,30670.93085106383,31962.963602714375,-1292.0327516505458,543.3518994828504,-2.377893134965153,459.82011759517576,0.461583587300207,-0.12726479185533568
Green,Tan,30670.93085106383,34325.60810810811,-3654.677257044277,1014.4246946350164,-3.6027092758809536,375.43585132412016,0.021144366491137156,-0.3045526022880875
Green,White,30670.93085106383,34567.605155109486,-3896.6743040456568,533.3085945563113,-7.306603238388675,427.0540287245022,1.0577250186827314e-10,-0.38477230870487783
Green,Yellow,30670.93085106383,29929.64814814815,741.2827029156797,1658.9193076698925,0.44684675106764576,64.86912094246989,0.9999997187491513,0.06491422654672585
Orange,Purple,28614.479166666668,31380.821917808218,-2766.3427511415503,1734.4695873009355,-1.5949214511430818,108.51281231471091,0.9278046806330332,-0.21867984549307837
Orange,Red,28614.479166666668,31534.883994126285,-2920.404827459617,785.8041060487794,-3.7164540182210892,213.30607249087132,0.01554344302971944,-0.2756126778345879
Orange,Silver,28614.479166666668,31962.963602714375,-3348.4844360477073,782.9390340824127,-4.276813762353869,210.23033456610852,0.001969476164424222,-0.3146398315537711
Orange,Tan,28614.479166666668,34325.60810810811,-5711.128941441439,1160.5256160480158,-4.921157157124868,410.53521894794363,9.312015854467948e-05,-0.48411497578065615
Orange,White,28614.479166666668,34567.605155109486,-5953.125988442818,776.002771545249,-7.671526709354916,202.89392976528072,5.443234751822956e-11,-0.5596268691177689
Orange,Yellow,28614.479166666668,29929.64814814815,-1315.1689814814818,1752.077485095404,-0.7506340288425476,79.62453369382213,0.9999168035681326,-0.11526831830535857
Purple,Red,31380.821917808218,31534.883994126285,-154.06207631806683,1567.5962386276458,-0.09827918217827614,73.98723064591387,0.9999999999999956,-0.011622849438408883
Purple,Silver,31380.821917808218,31962.963602714375,-582.141684906157,1566.161998442793,-0.3716995339466608,73.7169692038072,0.9999999680101348,-0.043822787941868176
Purple,Tan,31380.821917808218,34325.60810810811,-2944.7861902998884,1785.13012964883,-1.6496199024320908,120.53715951167044,0.9100478732151345,-0.2219948635949316
Purple,White,31380.821917808218,34567.605155109486,-3186.783237301268,1562.7060426460025,-2.0392723585462997,73.06857170113868,0.7039967281317436,-0.2396499673895381
Purple,Yellow,31380.821917808218,29929.64814814815,1451.1737696600685,2215.7719621059064,0.654929205025615,121.63063418283573,0.9999825913633948,0.11684739605304491
Red,Silver,31534.883994126285,31962.963602714375,-428.0796085880902,248.93121374702608,-1.7196702741469856,7769.167497828848,0.8870380381816064,-0.0384233580138335
Red,Tan,31534.883994126285,34325.60810810811,-2790.7241139818216,892.0722636598967,-3.128361039421115,240.65132311839005,0.09306494789892472,-0.21665351101753036
Red,White,31534.883994126285,34567.605155109486,-3032.721160983201,226.17143836827407,-13.408948463444059,7247.499669315724,0.0,-0.2707434386501886
Red,Yellow,31534.883994126285,29929.64814814815,1605.2358459781353,1587.05662528654,1.0114546767909514,54.42651147705663,0.9981423769974614,0.1386985855328198
Silver,Tan,31962.963602714375,34325.60810810811,-2362.6445053937314,889.5495273440779,-2.656001080061122,237.9546248659024,0.28352786830052223,-0.182255656336092
Silver,White,31962.963602714375,34567.605155109486,-2604.641552395111,216.0068460497352,-12.058143526596359,10543.630076861828,2.3686608230377715e-12,-0.2155847329800763
Silver,Yellow,31962.963602714375,29929.64814814815,2033.3154545662255,1585.639987472781,1.2823310906827956,54.23251474986156,0.9848639393539842,0.1754425707070671
Tan,White,34325.60810810811,34567.605155109486,-241.99704700137954,883.4506958252276,-0.27392252691060603,231.50739592354205,0.9999999993056505,-0.01861420940773366
Tan,Yellow,34325.60810810811,29929.64814814815,4395.959959959957,1802.2431423885087,2.43916032002985,88.51176035916794,0.4273692934093355,0.3690880969324251
White,Yellow,34567.605155109486,29929.64814814815,4637.957006961336,1582.2265767672745,2.931284984756972,53.76709613292813,0.17802386953186566,0.4000898070922866
